      13.08	      55.2
      13.11	      55.2
      13.16	      55.2
      13.21	      55.2
      13.24	      54.9
      13.29	      54.6
      13.34	      54.6
      13.37	      54.6
      13.42	      54.4
      13.47	      53.8
      13.52	      53.8
      13.57	      53.8
       13.6	      53.8
      13.65	      53.8
      13.68	      53.6
      13.75	      53.3
      13.81	      53.3
      13.83	      53.3
      13.88	      53.3
      13.94	      53.3
      13.99	        53
      14.06	      52.7
      14.09	      52.7
      14.14	      52.7
      14.22	      52.2
      14.24	      51.9
       14.3	      51.9
      14.35	      51.9
      14.37	      51.9
      14.43	      51.9
      14.48	      51.9
      14.53	      51.9
      14.58	      51.9
      14.61	      51.9
      14.63	      51.9
      14.68	      51.9
      14.73	      51.9
      14.79	      51.9
      14.81	      51.9
      14.86	      51.9
      14.89	      51.6
      14.94	      51.1
      14.99	      51.1
      15.04	      51.1
      15.07	      51.1
      15.12	      51.1
      15.17	      51.1
      15.22	      51.1
      15.28	      51.1
      15.33	      51.1
      15.38	      51.1
      15.43	      51.1
      15.48	      51.1
      15.51	      51.1
      15.58	      50.5
      15.64	        50
      15.69	      49.5
      15.74	      49.5
      15.79	      49.5
      15.84	      49.5
      15.87	      49.5
      15.95	      48.9
         16	      48.6
      16.13	      48.1
      16.18	      48.1
      16.23	      47.5
      16.26	      47.5
      16.31	      47.3
      16.36	      47.3
      16.38	      47.3
      16.44	      47.3
      16.46	      47.3
      16.54	      46.7
      16.62	      46.4
      16.64	      46.4
      16.72	      46.4
       16.8	      46.4
      16.87	      46.4
      16.93	      46.4
      16.98	      46.4
         17	      46.4
      17.05	      46.4
      17.08	      46.2
      17.16	      45.9
      17.18	      45.9
      17.24	      45.9
      17.26	      45.9
      17.34	      45.6
      17.39	      45.6
      17.42	      45.6
      17.49	      45.1
      17.55	      44.5
      17.57	      44.5
      17.62	      44.5
      17.65	      44.5
      17.67	      44.5
      17.73	      44.5
      17.75	      44.5
       17.8	      44.5
      17.85	      44.5
      17.91	        44
      17.96	      43.4
      17.98	      43.2
      18.04	      42.9
      18.09	      42.9
      18.14	      42.9
      18.16	      42.9
      18.22	      42.9
      18.24	      42.6
      18.29	      42.3
      18.34	      42.3
       18.4	      42.1
      18.45	      42.1
       18.5	      42.1
      18.55	      41.5
      18.58	      41.3
      18.63	      41.3
      18.65	      41.3
      18.71	      41.3
      18.73	        41
      18.78	      40.7
      18.84	      40.7
      18.86	      40.7
      18.91	      40.7
      18.96	      40.7
      18.99	      40.7
      19.02	      40.7
      19.07	      40.7
      19.09	      40.7
      19.12	      40.7
      19.14	      40.7
      19.17	      40.7
       19.2	      40.7
      19.27	      40.7
      19.32	      40.7
      19.38	      40.7
       19.4	      40.7
      19.43	      40.7
      19.45	      40.7
      19.48	      40.7
      19.53	      40.7
      19.58	      40.4
      19.63	      40.2
      19.66	      40.2
      19.68	      40.2
      19.74	      39.9
      19.79	      39.9
      19.87	      39.9
      19.94	      39.9
      19.97	      39.9
      19.99	      39.9
      20.05	      39.6
       20.1	      39.3
      20.15	      39.1
       20.2	      38.8
      20.23	      38.8
      20.25	      38.8
      20.33	      38.8
      20.38	      38.5
      20.43	      38.3
      20.48	        38
      20.51	        38
      20.54	        38
      20.56	        38
      20.59	        38
      20.64	        38
      20.69	      38.3
      20.74	        38
      20.79	      37.7
      20.85	      37.4
       20.9	      37.2
      20.95	      36.9
         21	      36.6
      21.05	      36.3
      21.08	      36.3
      21.13	      36.3
      21.18	      36.3
      21.21	      36.3
      21.26	      36.1
      21.31	      35.8
      21.34	      35.8
      21.36	      35.8
      21.39	      35.8
      21.41	      35.8
      21.49	      35.8
      21.52	      35.8
      21.57	      35.5
      21.62	      35.2
      21.64	      35.2
      21.67	      35.2
       21.7	      35.2
      21.72	      35.2
      21.75	      35.2
       21.8	      35.2
      21.85	      35.2
       21.9	      35.2
      21.93	      35.2
      21.98	      35.2
      22.01	        35
      22.06	      34.7
      22.08	      34.4
      22.13	      34.2
      22.19	      33.6
      22.21	      33.6
      22.24	      33.6
      22.26	      33.6
      22.29	      33.6
      22.34	      33.6
      22.37	      33.3
      22.42	      33.1
      22.47	      32.5
      22.52	      32.5
      22.55	      32.5
      22.57	      32.5
      22.63	      32.5
       22.7	      32.5
      22.75	      32.5
      22.78	      32.5
      22.81	      32.5
      22.86	      32.5
      22.88	      32.5
      22.91	      32.5
      22.96	      32.5
      23.01	      32.5
      23.04	      32.8
      23.09	      33.1
      23.14	      32.8
      23.19	      32.5
      23.27	        32
      23.29	      31.7
      23.35	      31.4
      23.37	      31.4
      23.42	      31.1
      23.45	      31.1
      23.48	      31.1
      23.53	      31.1
      23.58	      31.1
      23.68	      30.9
      23.73	      30.6
      23.78	      30.3
      23.84	      30.1
      23.89	      29.8
      23.97	        29
      24.02	      28.7
      24.04	      28.7
      24.12	      28.7
       24.2	      28.7
      24.25	      28.4
       24.3	      28.1
      24.33	      28.1
      24.38	      28.1
       24.4	      28.1
      24.48	      28.1
      24.56	      28.1
      24.64	      28.1
      24.69	      28.1
      24.74	      28.1
      24.79	      28.1
      24.84	      28.1
      24.92	      28.1
      24.97	      28.1
      25.05	      28.1
      25.13	      28.1
      25.18	      28.1
      25.23	      28.1
      25.28	      28.1
      25.31	      28.1
      25.38	      28.1
      25.46	      28.1
      25.51	      28.1
      25.59	      28.1
      25.64	      28.1
      25.72	      28.1
      25.77	      28.1
      25.82	      28.1
      25.85	      28.1
       25.9	      28.1
      25.97	      28.1
         26	      28.1
      26.03	      28.1
      26.08	      28.1
       26.1	      28.1
      26.15	      28.1
      26.21	      28.1
      26.23	      28.1
      26.28	      28.1
      26.31	      28.1
      26.36	      28.1
      26.39	      28.1
      26.44	      28.1
      26.49	      28.1
      26.54	      28.1
      26.59	      28.1
      26.62	      28.1
      26.64	      28.1
       26.7	      28.1
      26.75	      28.1
      26.77	      28.1
      26.82	      28.1
      26.85	      28.1
       26.9	      28.1
      26.93	      28.1
      26.98	      28.4
      27.06	      28.4
      27.13	      28.4
