Line 4 x,Line 4 y
1.602944281633E0,9.230175098899E1
1.624199429891E0,9.197907536066E1
1.624261884677E0,9.176607851598E1
1.624315417351E0,9.158350979196E1
1.624368950025E0,9.140094106795E1
1.624765123678E0,9.109470177624E1
1.631002146677E0,9.094393365209E1
1.658864066908E0,9.078454857159E1
1.676027980547E0,9.076161595468E1
1.693185202601E0,9.076150442828E1
1.710342424655E0,9.076139290188E1
1.727499646709E0,9.076128137547E1
1.744656868763E0,9.076116984907E1
1.761814090817E0,9.076105832266E1
1.778971312871E0,9.076094679626E1
1.796128534925E0,9.076083526985E1
1.813285756979E0,9.076072374345E1
1.830442979033E0,9.076061221705E1
1.847600201087E0,9.076050069064E1
1.864757423141E0,9.076038916424E1
1.881914645195E0,9.076027763783E1
1.899071867249E0,9.076016611143E1
1.916229089303E0,9.076005458502E1
1.933386311357E0,9.075994305862E1
1.950543533411E0,9.075983153221E1
1.967700755465E0,9.075972000581E1
1.984857977519E0,9.075960847941E1
2.002015199573E0,9.075949695300E1
2.019172421627E0,9.075938542660E1
2.036329643681E0,9.075927390019E1
2.053486865735E0,9.075916237379E1
2.070644087789E0,9.075905084738E1
2.087801309843E0,9.075893932098E1
2.122480445293E0,9.073399109666E1
2.138851664148E0,9.057008803769E1
2.147000035137E0,9.041196439047E1
2.150006990934E0,9.016924482078E1
2.158476803174E0,9.000154562902E1
2.172134008011E0,8.986380609393E1
2.191039071874E0,8.975414218047E1
2.208196293928E0,8.975403065407E1
2.225353515982E0,8.975391912766E1
2.242510738036E0,8.975380760126E1
2.259667960090E0,8.975369607486E1
2.276825182144E0,8.975358454845E1
2.293982404198E0,8.975347302205E1
2.324297065339E0,8.974110474380E1
2.348867675857E0,8.954692990502E1
2.356105111705E0,8.940622442001E1
2.365630769553E0,8.925679935185E1
2.378234803355E0,8.913219288102E1
2.397139867219E0,8.902252896756E1
2.414297089273E0,8.902241744116E1
2.431454311327E0,8.902230591475E1
2.448611533381E0,8.902219438835E1
2.478926194521E0,8.900982611010E1
2.506541438705E0,8.875325395193E1
2.510789912808E0,8.852560993739E1
2.519451296254E0,8.836245922022E1
2.551789071154E0,8.822278706236E1
2.568952984792E0,8.819985444545E1
2.586110206846E0,8.819974291905E1
2.603267428900E0,8.819963139264E1
2.620424650954E0,8.819951986624E1
2.637581873008E0,8.819940833983E1
2.654739095062E0,8.819929681343E1
2.671896317116E0,8.819918528703E1
2.689053539170E0,8.819907376062E1
2.706210761224E0,8.819896223422E1
2.723367983278E0,8.819885070781E1
2.740525205332E0,8.819873918141E1
2.757682427386E0,8.819862765500E1
2.774839649440E0,8.819851612860E1
2.791996871494E0,8.819840460219E1
2.812680855860E0,8.819827015092E1
2.829176492661E0,8.810926951332E1
2.839706767968E0,8.796629784089E1
2.843593447229E0,8.777207633361E1
2.843664824128E0,8.752865136826E1
2.851318052781E0,8.734092567658E1
2.878077411472E0,8.719371898809E1
2.895234633526E0,8.719360746169E1
2.912391855580E0,8.719349593528E1
2.929549077634E0,8.719338440888E1
2.946706299688E0,8.719327288247E1
2.963863521742E0,8.719316135607E1
2.981020743796E0,8.719304982967E1
2.998177965850E0,8.719293830326E1
3.015335187904E0,8.719282677686E1
3.032492409958E0,8.719271525045E1
3.049649632012E0,8.719260372405E1
3.066806854066E0,8.719249219764E1
3.083964076120E0,8.719238067124E1
3.101121298174E0,8.719226914484E1
3.118278520228E0,8.719215761843E1
3.135435742282E0,8.719204609203E1
3.152592964336E0,8.719193456562E1
3.169750186390E0,8.719182303922E1
3.186907408444E0,8.719171151281E1
3.204064630498E0,8.719159998641E1
3.234379291638E0,8.717923170816E1
3.254067111538E0,8.697740914535E1
3.255661206233E0,8.676527171783E1
3.262223025985E0,8.655168926732E1
3.290091637802E0,8.636948309632E1
3.307275626193E0,8.627808720791E1
3.324432848247E0,8.627797568151E1
3.354747509387E0,8.626560740326E1
3.375979460153E0,8.602204488867E1
3.382537711060E0,8.582063368643E1
3.410399631292E0,8.566124860593E1
3.427563544930E0,8.563831598903E1
3.444720766984E0,8.563820446262E1
3.461877989038E0,8.563809293622E1
3.479035211092E0,8.563798140981E1
3.496192433146E0,8.563786988341E1
3.513349655200E0,8.563775835701E1
3.530506877254E0,8.563764683060E1
3.556315314024E0,8.563367556122E1
3.573780423306E0,8.555875971273E1
3.587204139649E0,8.536980112320E1
3.592660784602E0,8.522452236777E1
3.601319873790E0,8.506919602448E1
3.633657648690E0,8.492952386662E1
3.650821562329E0,8.490659124971E1
3.667978784383E0,8.490647972331E1
3.685136006437E0,8.490636819690E1
3.702293228491E0,8.490625667050E1
3.719450450545E0,8.490614514409E1
3.736607672599E0,8.490603361769E1
3.753764894653E0,8.490592209129E1
3.770922116707E0,8.490581056488E1
3.788079338761E0,8.490569903848E1
3.805236560815E0,8.490558751207E1
3.825825227279E0,8.490545368039E1
3.853276782566E0,8.490527523814E1
3.873865449031E0,8.490514140645E1
3.891022671085E0,8.490502988005E1
3.908179893139E0,8.490491835365E1
3.925337115193E0,8.490480682724E1
3.942494337247E0,8.490469530084E1
3.959651559301E0,8.490458377443E1
3.976808781355E0,8.490447224803E1
4.010534170434E0,8.487953022331E1
4.027348718759E0,8.474972130723E1
4.036981886290E0,8.448518811107E1
4.037046422903E0,8.426509137156E1
4.037099955577E0,8.408252264755E1
4.037153488251E0,8.389995392353E1
4.039351673682E0,8.371737125872E1
4.057131398950E0,8.332411787137E1
4.074442230038E0,8.326452572872E1
4.097391129800E0,8.326057304707E1
4.114548351854E0,8.326046152066E1
4.131705573908E0,8.326034999426E1
4.148862795962E0,8.326023846785E1
4.166020018016E0,8.326012694145E1
4.183177240070E0,8.326001541504E1
4.200334462124E0,8.325990388864E1
4.217491684178E0,8.325979236224E1
4.234648906232E0,8.325968083583E1
4.251806128286E0,8.325956930943E1
4.268963350340E0,8.325945778302E1
4.290533704081E0,8.325497070402E1
4.304113860105E0,8.319424364743E1
4.326993884345E0,8.283308769204E1
4.348712912037E0,8.258946438242E1
4.366329135653E0,8.253235488378E1
4.389278035414E0,8.252840220213E1
4.406435257468E0,8.252829067573E1
4.423592479522E0,8.252817914932E1
4.440749701576E0,8.252806762292E1
4.457906923630E0,8.252795609652E1
4.475064145684E0,8.252784457011E1
4.492221367738E0,8.252773304371E1
4.513791721479E0,8.252324596470E1
4.527371877503E0,8.246251890812E1
4.543811995398E0,8.212169018891E1
4.543880398260E0,8.188840793044E1
4.559842920260E0,8.158003891591E1
4.575442370707E0,8.152306601734E1
4.595459129770E0,8.152293590320E1
4.612616351824E0,8.152282437680E1
4.629773573878E0,8.152271285039E1
4.646930795932E0,8.152260132399E1
4.664088017986E0,8.152248979758E1
4.681245240040E0,8.152237827118E1
4.698402462094E0,8.152226674477E1
4.715559684148E0,8.152215521837E1
4.732716906202E0,8.152204369196E1
4.749874128256E0,8.152193216556E1
4.767031350310E0,8.152182063916E1
4.801048974859E0,8.148899802003E1
4.825035117978E0,8.118673491018E1
4.840833254162E0,8.100679051270E1
4.856933906539E0,8.090334372315E1
4.870771894616E0,8.084564330730E1
4.888563160211E0,8.070327646645E1
4.896020707821E0,8.046309986253E1
4.896085244434E0,8.024300312302E1
4.898283429865E0,8.006042045821E1
4.917722342302E0,7.973225664281E1
4.936279360582E0,7.969503672270E1
4.973156522140E0,7.966219551584E1
4.990702758914E0,7.938025964217E1
4.990771161775E0,7.914697738371E1
4.990824694450E0,7.896440865969E1
5.006787216450E0,7.865603964517E1
5.022386666897E0,7.859906674659E1
5.042403425960E0,7.859893663245E1
5.059560648014E0,7.859882510605E1
5.076717870068E0,7.859871357964E1
5.093875092122E0,7.859860205324E1
5.111032314176E0,7.859849052683E1
5.128189536230E0,7.859837900043E1
5.145346758284E0,7.859826747403E1
5.162503980338E0,7.859815594762E1
5.182520739401E0,7.859802583348E1
5.197743296985E0,7.857836598547E1
5.220108297601E0,7.840633827693E1
5.231278596389E0,7.810071720441E1
5.231346999250E0,7.786743494595E1
5.231400531924E0,7.768486622193E1
5.231454064598E0,7.750229749792E1
5.241807283772E0,7.730140498566E1
5.259167276762E0,7.710897954032E1
5.277267884738E0,7.704938226391E1
5.300216784500E0,7.704542958226E1
5.317374006554E0,7.704531805586E1
5.334531228608E0,7.704520652945E1
5.351688450662E0,7.704509500305E1
5.368845672716E0,7.704498347665E1
5.386002894770E0,7.704487195024E1
5.403160116824E0,7.704476042384E1
5.420317338878E0,7.704464889743E1
5.437474560932E0,7.704453737103E1
5.454631782986E0,7.704442584462E1
5.471789005040E0,7.704431431822E1
5.488946227094E0,7.704420279181E1
5.506103449148E0,7.704409126541E1
5.523260671202E0,7.704397973901E1
5.540417893256E0,7.704386821260E1
5.557575115310E0,7.704375668620E1
5.574732337364E0,7.704364515979E1
5.591889559418E0,7.704353363339E1
5.613459913159E0,7.703904655438E1
5.627040069183E0,7.697831949780E1
5.649920093423E0,7.661716354241E1
5.671639121115E0,7.637354023279E1
5.689255344731E0,7.631643073415E1
5.712204244492E0,7.631247805250E1
5.729361466546E0,7.631236652609E1
5.746518688600E0,7.631225499969E1
5.763675910654E0,7.631214347329E1
5.785246264395E0,7.630765639428E1
5.798826420419E0,7.624692933770E1
5.815266538314E0,7.590610061848E1
5.825634627675E0,7.565449457178E1
5.842994620665E0,7.546206912644E1
5.861095228642E0,7.540247185003E1
5.884044128403E0,7.539851916838E1
5.901201350457E0,7.539840764198E1
5.918358572511E0,7.539829611557E1
5.935515794565E0,7.539818458917E1
5.952673016619E0,7.539807306276E1
5.969830238673E0,7.539796153636E1
6.003555627752E0,7.537301951164E1
6.020370176077E0,7.524321059556E1
6.030003343609E0,7.497867739940E1
6.030067880221E0,7.475858065989E1
6.032266065652E0,7.457599799508E1
6.051820011380E0,7.418059586567E1
6.074813797864E0,7.411643879681E1
6.091484913496E0,7.404429923663E1
6.114021611667E0,7.369305274525E1
6.135740639359E0,7.344942943564E1
6.153356862975E0,7.339231993700E1
6.176305762736E0,7.338836725535E1
6.193462984790E0,7.338825572894E1
6.210620206844E0,7.338814420254E1
6.227777428898E0,7.338803267613E1
6.244934650952E0,7.338792114973E1
6.262091873006E0,7.338780962332E1
6.279249095060E0,7.338769809692E1
6.296406317114E0,7.338758657052E1
6.313563539168E0,7.338747504411E1
6.330720761222E0,7.338736351771E1
6.347877983276E0,7.338725199130E1
6.365035205330E0,7.338714046490E1
6.382192427384E0,7.338702893849E1
6.399349649438E0,7.338691741209E1
6.416506871492E0,7.338680588568E1
6.433664093546E0,7.338669435928E1
6.450821315600E0,7.338658283288E1
6.467978537654E0,7.338647130647E1
6.485135759708E0,7.338635978007E1
6.502292981762E0,7.338624825366E1
6.519450203816E0,7.338613672726E1
6.553175592895E0,7.336119470254E1
6.569990141220E0,7.323138578646E1
6.579623308752E0,7.296685259030E1
6.579687845365E0,7.274675585079E1
6.579741378039E0,7.256418712678E1
6.581939563470E0,7.238160446196E1
6.599719288738E0,7.198835107461E1
6.617030119826E0,7.192875893196E1
6.639979019587E0,7.192480625031E1
6.657136241641E0,7.192469472391E1
6.674293463695E0,7.192458319750E1
6.691450685749E0,7.192447167110E1
6.713021039490E0,7.191998459209E1
6.726601195514E0,7.185925753551E1
6.745180761600E0,7.153616461255E1
6.760050927612E0,7.132513627529E1
6.774564623370E0,7.128494209276E1
6.794581382433E0,7.128481197862E1
6.811738604487E0,7.128470045222E1
6.828895826541E0,7.128458892581E1
6.848912585604E0,7.128445881167E1
6.867174508558E0,7.124358823477E1
6.880636844902E0,7.113189493907E1
6.889042165139E0,7.095658915086E1
6.891251354509E0,7.073647847055E1
6.909031079777E0,7.034322508320E1
6.926341910865E0,7.028363294055E1
6.949290810626E0,7.027968025890E1
6.966448032680E0,7.027956873250E1
6.983605254734E0,7.027945720609E1
7.000762476788E0,7.027934567969E1
7.017919698842E0,7.027923415328E1
7.035076920896E0,7.027912262688E1
7.052234142950E0,7.027901110047E1
7.069391365004E0,7.027889957407E1
7.086548587058E0,7.027878804767E1
7.103705809112E0,7.027867652126E1
7.120863031166E0,7.027856499486E1
7.138020253220E0,7.027845346845E1
7.155177475274E0,7.027834194205E1
7.176747829015E0,7.027385486304E1
7.190327985039E0,7.021312780646E1
7.206768102934E0,6.987229908725E1
7.206836505796E0,6.963901682878E1
7.206890038470E0,6.945644810477E1
7.217243257644E0,6.925555559251E1
7.234603250633E0,6.906313014717E1
7.252703858610E0,6.900353287076E1
7.275652758371E0,6.899958018911E1
7.292809980425E0,6.899946866271E1
7.309967202479E0,6.899935713631E1
7.327124424533E0,6.899924560990E1
7.344281646587E0,6.899913408350E1
7.361438868641E0,6.899902255709E1
7.378596090695E0,6.899891103069E1
7.395753312749E0,6.899879950428E1
7.412910534803E0,6.899868797788E1
7.430067756857E0,6.899857645148E1
7.447224978911E0,6.899846492507E1
7.464382200965E0,6.899835339867E1
7.481539423019E0,6.899824187226E1
7.498696645073E0,6.899813034586E1
7.515853867127E0,6.899801881945E1
7.533011089181E0,6.899790729305E1
7.550168311235E0,6.899779576664E1
7.567325533289E0,6.899768424024E1
7.601050922368E0,6.897274221552E1
7.617865470693E0,6.884293329944E1
7.627498638225E0,6.857840010328E1
7.629707827594E0,6.835828942297E1
7.647487552862E0,6.796503603562E1
7.664798383950E0,6.790544389297E1
7.692160415399E0,6.789711565872E1
7.705740571423E0,6.783638860214E1
7.722180689318E0,6.749555988293E1
7.722249092179E0,6.726227762446E1
7.722302624853E0,6.707970890045E1
7.722356157527E0,6.689714017643E1
7.722409690202E0,6.671457145242E1
7.732762909375E0,6.651367894016E1
7.750122902365E0,6.632125349482E1
7.768223510342E0,6.626165621841E1
7.791172410103E0,6.625770353676E1
7.808329632157E0,6.625759201036E1
7.825486854211E0,6.625748048396E1
7.842644076265E0,6.625736895755E1
7.859801298319E0,6.625725743115E1
7.876958520373E0,6.625714590474E1
7.894115742427E0,6.625703437834E1
7.911272964481E0,6.625692285193E1
7.928430186535E0,6.625681132553E1
7.945587408589E0,6.625669979912E1
7.962744630643E0,6.625658827272E1
7.979901852697E0,6.625647674632E1
7.997059074751E0,6.625636521991E1
8.014216296805E0,6.625625369351E1
8.031373518859E0,6.625614216710E1
8.048530740913E0,6.625603064070E1
8.065687962967E0,6.625591911429E1
8.082845185021E0,6.625580758789E1
8.100002407075E0,6.625569606148E1
8.117159629129E0,6.625558453508E1
8.134316851183E0,6.625547300868E1
8.151474073237E0,6.625536148227E1
8.168631295291E0,6.625524995587E1
8.185788517345E0,6.625513842946E1
8.202945739399E0,6.625502690306E1
8.220102961453E0,6.625491537665E1
8.253828350532E0,6.622997335193E1
8.270642898857E0,6.610016443585E1
8.280276066389E0,6.583563123969E1
8.280340603001E0,6.561553450019E1
8.280394135675E0,6.543296577617E1
8.280447668349E0,6.525039705216E1
8.282645853780E0,6.506781438734E1
8.300425579048E0,6.467456099999E1
8.317736410137E0,6.461496885734E1
8.340685309898E0,6.461101617569E1
8.357842531952E0,6.461090464929E1
8.374999754006E0,6.461079312288E1
8.392156976060E0,6.461068159648E1
8.409314198114E0,6.461057007007E1
8.426471420168E0,6.461045854367E1
8.443628642222E0,6.461034701727E1
8.460785864276E0,6.461023549086E1
8.477943086330E0,6.461012396446E1
8.495100308384E0,6.461001243805E1
8.512257530438E0,6.460990091165E1
8.529414752492E0,6.460978938524E1
8.546571974546E0,6.460967785884E1
8.563729196600E0,6.460956633243E1
8.580886418654E0,6.460945480603E1
8.598043640708E0,6.460934327963E1
8.615200862762E0,6.460923175322E1
8.632358084816E0,6.460912022682E1
8.649515306870E0,6.460900870041E1
8.666672528924E0,6.460889717401E1
8.683829750978E0,6.460878564760E1
8.717555140057E0,6.458384362288E1
8.734369688382E0,6.445403470680E1
8.745623260219E0,6.418949097759E1
8.763938237877E0,6.375870616700E1
8.781249068965E0,6.369911402435E1
8.804197968727E0,6.369516134270E1
8.821355190781E0,6.369504981630E1
8.838512412835E0,6.369493828989E1
8.855669634889E0,6.369482676349E1
8.872826856943E0,6.369471523708E1
8.889984078997E0,6.369460371068E1
8.907141301051E0,6.369449218427E1
8.924298523105E0,6.369438065787E1
8.941455745159E0,6.369426913147E1
8.958612967213E0,6.369415760506E1
8.975770189267E0,6.369404607866E1
8.997747773707E0,6.369390321864E1
9.013801856230E0,6.365956729243E1
9.032722652398E0,6.342272121951E1
9.043965020700E0,6.321476832612E1
9.061729388516E0,6.310318290565E1
9.078900885950E0,6.305438638618E1
9.096058108004E0,6.305427485977E1
9.113215330058E0,6.305416333337E1
9.130372552112E0,6.305405180697E1
9.147529774166E0,6.305394028056E1
9.164686996220E0,6.305382875416E1
9.181844218274E0,6.305371722775E1
9.199001440328E0,6.305360570135E1
9.216158662382E0,6.305349417494E1
9.233315884436E0,6.305338264854E1
9.250473106490E0,6.305327112213E1
9.267630328544E0,6.305315959573E1
9.284787550598E0,6.305304806933E1
9.301944772652E0,6.305293654292E1
9.319101994706E0,6.305282501652E1
9.336259216760E0,6.305271349011E1
9.353416438814E0,6.305260196371E1
9.370573660868E0,6.305249043730E1
9.387730882922E0,6.305237891090E1
9.404888104976E0,6.305226738450E1
9.422045327030E0,6.305215585809E1
9.439202549084E0,6.305204433169E1
9.456359771138E0,6.305193280528E1
9.473516993192E0,6.305182127888E1
9.490674215246E0,6.305170975247E1
9.507831437300E0,6.305159822607E1
9.524988659354E0,6.305148669966E1
9.542145881408E0,6.305137517326E1
9.559303103462E0,6.305126364686E1
9.576460325516E0,6.305115212045E1
9.593617547570E0,6.305104059405E1
9.610774769624E0,6.305092906764E1
9.644792394173E0,6.301810644852E1
9.668778537292E0,6.271584333867E1
9.690497564984E0,6.247222002905E1
9.708113788600E0,6.241511053041E1
9.731062688361E0,6.241115784876E1
9.748219910415E0,6.241104632236E1
9.765377132469E0,6.241093479595E1
9.782534354523E0,6.241082326955E1
9.804104708264E0,6.240633619054E1
9.817684864288E0,6.234560913396E1
9.834124982183E0,6.200478041475E1
9.834193385045E0,6.177149815628E1
9.844546604219E0,6.157060564402E1
9.861906597208E0,6.137818019869E1
9.880007205185E0,6.131858292228E1
9.902956104946E0,6.131463024063E1
9.920113327000E0,6.131451871422E1
