    -0.512	      98.9
   0.00274	      98.9
     0.261	      98.4
     0.779	      97.4
      1.29	      96.8
      1.81	      96.3
      2.07	      95.8
      2.59	      94.7
      2.85	      93.7
      3.11	      92.6
      3.11	      92.1
      3.37	        91
      3.37	      90.5
      3.37	      89.4
      3.38	      88.4
      3.38	      86.8
      3.64	      85.7
      3.64	      85.2
       3.9	      84.1
       3.9	      83.6
      4.16	      83.1
      4.42	        82
      4.42	      81.5
      4.68	      80.4
      4.68	      79.9
      4.95	      78.3
      5.21	      77.2
      5.47	      76.2
      5.73	      74.6
      5.99	      73.5
       6.5	      72.5
      6.51	      70.9
      6.77	      69.8
      7.03	      69.3
      7.55	      67.2
      7.55	      66.7
      7.81	      65.6
      7.81	      65.1
      8.07	        64
      8.33	        63
      8.85	      61.9
      9.36	      61.4
      9.88	      60.3
      10.4	      59.8
      10.7	      59.3
      10.9	      58.2
      11.2	      57.7
      11.4	      56.6
      11.7	      55.6
        12	      54.5
      12.5	      53.5
      12.7	      52.9
      13.2	      51.9
      13.5	      51.4
      13.8	      50.8
      14.3	      50.3
      14.8	      49.3
      15.3	      48.8
      15.6	      48.2
      16.1	      47.7
      16.3	      47.2
      16.9	      46.7
      17.4	      45.6
      17.6	      45.1
      18.4	      44.6
      18.9	        44
      19.4	      44.1
        20	        43
      20.5	      42.5
      20.7	      42.5
      21.5	      42.5
      21.8	      42.5
        22	      42.5
      22.5	      42.5
      23.1	        42
      23.6	      41.5
      24.1	      41.5
      24.6	        41
      25.1	      39.9
      25.6	      39.4
      25.9	      38.9
      26.4	      38.4
      26.9	      38.4
      27.2	      38.4
      27.7	      38.4
        28	      38.4
      28.5	      37.9
        29	      37.9
      29.5	      37.9
        30	      37.4
      30.8	      36.3
        31	      36.3
      31.6	      36.4
      32.1	      35.3
      32.6	      34.8
      33.1	      34.8
      33.6	      34.8
      34.1	      34.8
      34.7	      34.8
      35.2	      34.8
      35.7	      34.9
      36.2	      34.3
      36.7	      33.8
      37.2	      33.8
      37.7	      33.8
      38.3	      33.9
      38.5	      33.9
      38.8	      33.9
      39.3	      33.9
      39.8	      33.9
      40.3	      33.4
      41.1	      32.9
      41.6	      32.9
      42.1	      32.9
      42.9	      31.3
      43.4	      30.2
      43.7	      30.3
      43.9	      30.3
      44.4	      30.3
        45	      30.3
      45.2	      30.3
      45.5	      30.3
      45.7	      30.3
      46.2	      30.3
      46.8	      29.3
        47	      29.3
      47.5	      28.7
      48.1	      28.8
      48.8	      28.8
      49.3	      28.8
      50.1	      28.8
      50.6	      28.8
      50.6	      28.3
      50.9	      27.2
      51.7	      26.2
      52.2	      26.2
      52.7	      26.2
      53.2	      26.2
        54	      26.2
      54.7	      26.2
      55.5	      26.3
      56.3	      26.3
      56.8	      26.3
      57.3	      26.3
      58.1	      26.3
