Line 2 x,Line 2 y
2.667810343774E-1,9.978311500758E1
2.931802932415E-1,9.978311500758E1
3.254956650856E-1,9.978311500758E1
3.618950476540E-1,9.978311500758E1
4.112605521001E-1,9.978311500758E1
4.611677200855E-1,9.978311500758E1
5.110481714331E-1,9.978311500758E1
5.401341769651E-1,9.978311500758E1
5.656352358966E-1,9.978287346116E1
6.168377362590E-1,9.977410072935E1
6.694730970428E-1,9.972283395028E1
6.921164083815E-1,9.968655381884E1
7.167107081320E-1,9.964029899457E1
7.327823357412E-1,9.959255056540E1
7.501374381280E-1,9.951573805388E1
7.570720863327E-1,9.943691279623E1
7.577358709199E-1,9.869008368428E1
7.577693146744E-1,9.877765854445E1
7.577948371734E-1,9.884449103113E1
7.578206190188E-1,9.891200263485E1
7.578446638466E-1,9.897496573377E1
7.578678843951E-1,9.903577039869E1
7.578894677347E-1,9.938124099263E1
7.578911049436E-1,9.909657506362E1
7.579151497714E-1,9.915953816254E1
7.579409316167E-1,9.922704976626E1
7.579664541158E-1,9.929388225294E1
7.586664222023E-1,9.863129483399E1
7.702929514494E-1,9.852263906404E1
7.987462530983E-1,9.841877809782E1
8.170989565027E-1,9.838265238087E1
8.384364710923E-1,9.835265268053E1
8.619640357754E-1,9.832499801513E1
9.512115560107E-1,9.827585852597E1
1.002871146433E0,9.825639494980E1
1.032536738690E0,9.823084298616E1
1.059360921085E0,9.820042285174E1
1.081543107084E0,9.817065623488E1
1.105701268937E0,9.813553376528E1
1.128598439853E0,9.810070495545E1
1.149270362730E0,9.806646084159E1
1.171637716803E0,9.803017616517E1
1.192720099259E0,9.799699498179E1
1.213598757047E0,9.796766642019E1
1.233845985381E0,9.793573229358E1
1.313050055552E0,9.788288613261E1
1.392815530233E0,9.786571956307E1
1.437534676868E0,9.786162669325E1
1.476425280598E0,9.785235549315E1
1.510972825940E0,9.783388259072E1
1.555069578886E0,9.777663059772E1
1.572795297607E0,9.774014267840E1
1.594991975282E0,9.769288669481E1
1.618588713447E0,9.762450493097E1
1.635844148655E0,9.757269334524E1
1.657500436277E0,9.750628803470E1
1.675725304835E0,9.745669819997E1
1.694976531455E0,9.740751183502E1
1.714372604704E0,9.737427136565E1
1.800513782356E0,9.730558498487E1
1.872893975364E0,9.729224203808E1
1.907016296243E0,9.728894187147E1
1.941485500034E0,9.728599990839E1
1.973632628868E0,9.728388973207E1
2.004678080055E0,9.728278419271E1
2.034030389700E0,9.728238497016E1
2.063382851803E0,9.728238497016E1
2.092735313906E0,9.728238497016E1
2.122087776009E0,9.728238497016E1
2.151440238112E0,9.728238497016E1
2.180792700215E0,9.728238497016E1
2.210145162318E0,9.728238497016E1
2.239497624421E0,9.728238497016E1
2.268850086524E0,9.728238497016E1
2.299895959903E0,9.728238497016E1
2.332043894587E0,9.728238497016E1
2.366514221877E0,9.728238497016E1
2.400637803050E0,9.728238497016E1
2.444254757306E0,9.728238497016E1
2.471084039089E0,9.728215684299E1
2.505402015072E0,9.727536149364E1
2.537954909225E0,9.725832579238E1
2.579869879589E0,9.721062278720E1
2.602029448204E0,9.717155268879E1
2.622155851240E0,9.713041834630E1
2.637983542543E0,9.708362057598E1
2.653191500752E0,9.703179662010E1
2.664859211892E0,9.663006472105E1
2.664899762172E0,9.673624852520E1
2.664940312451E0,9.684243232936E1
2.664971355668E0,9.692372120873E1
2.670337937032E0,9.649508899013E1
2.678667665589E0,9.643452443113E1
2.700333951258E0,9.635655726924E1
2.717258636094E0,9.631576965383E1
2.738049511840E0,9.628259361026E1
2.827432830475E0,9.621331209497E1
2.887229092270E0,9.620136673418E1
2.943542011313E0,9.619645401558E1
2.999855168626E0,9.619216522478E1
3.029435826540E0,9.619128530570E1
3.059416228280E0,9.618855755653E1
3.107168262520E0,9.616861446679E1
3.139725100370E0,9.613974672571E1
3.173880401073E0,9.608869593811E1
3.194857227920E0,9.604861811577E1
3.216258798467E0,9.599133648424E1
3.232835741710E0,9.591404516313E1
3.236787260664E0,9.546489931650E1
3.236827783034E0,9.557101003739E1
3.236861558378E0,9.565945318637E1
3.236902080748E0,9.576556390725E1
3.236929374363E0,9.583703418833E1
3.237921897989E0,9.538596793504E1
3.243040589441E0,9.533359709646E1
3.258412317373E0,9.525955331091E1
3.284335269865E0,9.519557889643E1
3.303800777092E0,9.516071448700E1
3.355002672857E0,9.509773356055E1
3.402153699227E0,9.504330584661E1
3.429041630633E0,9.500864830619E1
3.452413763348E0,9.496810185245E1
3.475144189843E0,9.492315519171E1
3.492011136072E0,9.487705411523E1
3.507468650023E0,9.480171821322E1
3.514403298227E0,9.472289295558E1
3.514408463620E0,9.225142243850E1
3.514441907374E0,9.233899729867E1
3.514467429873E0,9.240582978536E1
3.514493211719E0,9.247334138908E1
3.514517256547E0,9.253630448800E1
3.514540477095E0,9.259710915292E1
3.514562431068E0,9.265459719976E1
3.514584385041E0,9.271208524659E1
3.514606339014E0,9.276957329343E1
3.514628292988E0,9.282706134027E1
3.514650246961E0,9.288454938711E1
3.514672200934E0,9.294203743394E1
3.514694154907E0,9.299952548078E1
3.514716108880E0,9.305701352762E1
3.514738062853E0,9.311450157445E1
3.514760016827E0,9.317198962129E1
3.514781970800E0,9.322947766813E1
3.514803924773E0,9.328696571497E1
3.514825878746E0,9.334445376180E1
3.514847832719E0,9.340194180864E1
3.514869786692E0,9.345942985548E1
3.514891740665E0,9.351691790232E1
3.514913694639E0,9.357440594915E1
3.514935648612E0,9.363189399599E1
3.514957602585E0,9.368938204283E1
3.514979556558E0,9.374687008967E1
3.515001510531E0,9.380435813650E1
3.515023464504E0,9.386184618334E1
3.515045418478E0,9.391933423018E1
3.515067372451E0,9.397682227701E1
3.515089326424E0,9.403431032385E1
3.515111280397E0,9.409179837069E1
3.515133234370E0,9.414928641753E1
3.515155188343E0,9.420677446436E1
3.515177142316E0,9.426426251120E1
3.515199096290E0,9.432175055804E1
3.515220679629E0,9.466722115198E1
3.515222316838E0,9.438255522296E1
3.515246361666E0,9.444551832188E1
